sample_id,class_id,time_s,uv_intensity
0,0,0.000000,0.357808
0,0,0.006250,0.363909
0,0,0.012500,0.369429
0,0,0.018750,0.373840
0,0,0.025000,0.376724
0,0,0.031250,0.377804
0,0,0.037500,0.376977
0,0,0.043750,0.374324
0,0,0.050000,0.370095
0,0,0.056250,0.364696
0,0,0.062500,0.000832
0,0,0.068750,0.000000
0,0,0.075000,0.000000
0,0,0.081250,0.000000
0,0,0.087500,0.000000
0,0,0.093750,0.000000
0,0,0.100000,0.000000
0,0,0.106250,0.000000
0,0,0.112500,0.000000
0,0,0.118750,0.000000
0,0,0.125000,0.000000
0,0,0.131250,0.004497
0,0,0.137500,0.010228
0,0,0.143750,0.014983
0,0,0.150000,0.018311
0,0,0.156250,0.019892
0,0,0.162500,0.019577
0,0,0.168750,0.017396
0,0,0.175000,0.013556
0,0,0.181250,0.008424
0,0,0.187500,0.002489
0,0,0.193750,0.000000
0,0,0.200000,0.000000
0,0,0.206250,0.000000
0,0,0.212500,0.000000
0,0,0.218750,0.000000
0,0,0.225000,0.000000
0,0,0.231250,0.000000
0,0,0.237500,0.000000
0,0,0.243750,0.000000
0,0,0.250000,0.000000
0,0,0.256250,0.002863
0,0,0.262500,0.008765
0,0,0.268750,0.013831
0,0,0.275000,0.017579
0,0,0.281250,0.019651
0,0,0.287500,0.019849
0,0,0.293750,0.018156
0,0,0.300000,0.014731
0,0,0.306250,0.009902
0,0,0.312500,0.004129
0,0,0.318750,0.000000
0,0,0.325000,0.000000
0,0,0.331250,0.000000
0,0,0.337500,0.340641
0,0,0.343750,0.338329
0,0,0.350000,0.337874
0,0,0.356250,0.339319
0,0,0.362500,0.342527
0,0,0.368750,0.347192
0,0,0.375000,0.352868
0,0,0.381250,0.359016
0,0,0.387500,0.365048
0,0,0.393750,0.012583
0,0,0.400000,0.016725
0,0,0.406250,0.019274
0,0,0.412500,0.019984
0,0,0.418750,0.018790
0,0,0.425000,0.015804
0,0,0.431250,0.011312
0,0,0.437500,0.005741
0,0,0.443750,0.000000
0,0,0.450000,0.000000
0,0,0.456250,0.000000
0,0,0.462500,0.000000
0,0,0.468750,0.000000
0,0,0.475000,0.000000
0,0,0.481250,0.000000
0,0,0.487500,0.000000
0,0,0.493750,0.000000
0,0,0.500000,0.000000
0,0,0.506250,0.000000
0,0,0.512500,0.005666
0,0,0.518750,0.011248
0,0,0.525000,0.015756
0,0,0.531250,0.018763
0,0,0.537500,0.019981
0,0,0.543750,0.019294
0,0,0.550000,0.016768
0,0,0.556250,0.012643
0,0,0.562500,0.007313
0,0,0.568750,0.001286
0,0,0.575000,0.000000
0,0,0.581250,0.000000
0,0,0.587500,0.000000
0,0,0.593750,0.000000
0,0,0.600000,0.000000
0,0,0.606250,0.000000
0,0,0.612500,0.000000
0,0,0.618750,0.000000
0,0,0.625000,0.000000
0,0,0.631250,0.000000
0,0,0.637500,0.004053
0,0,0.643750,0.009835
0,0,0.650000,0.014678
0,0,0.656250,0.018123
0,0,0.662500,0.019840
0,0,0.668750,0.377473
0,0,0.675000,0.375424
0,0,0.681250,0.371695
0,0,0.687500,0.366642
0,0,0.693750,0.360748
0,0,0.700000,0.354573
0,0,0.706250,0.348706
0,0,0.712500,0.343707
0,0,0.718750,0.340052
0,0,0.725000,0.338091
0,0,0.731250,0.000000
0,0,0.737500,0.000000
0,0,0.743750,0.000000
0,0,0.750000,0.000000
0,0,0.756250,0.000000
0,0,0.762500,0.002412
0,0,0.768750,0.008354
0,0,0.775000,0.013499
0,0,0.781250,0.017357
0,0,0.787500,0.019561
0,0,0.793750,0.019900
0,0,0.800000,0.018342
0,0,0.806250,0.015035
0,0,0.812500,0.010295
0,0,0.818750,0.004573
0,0,0.825000,0.000000
0,0,0.831250,0.000000
0,0,0.837500,0.000000
0,0,0.843750,0.000000
0,0,0.850000,0.000000
0,0,0.856250,0.000000
0,0,0.862500,0.000000
0,0,0.868750,0.000000
0,0,0.875000,0.000000
0,0,0.881250,0.000000
0,0,0.887500,0.000754
0,0,0.893750,0.006815
0,0,0.900000,0.012226
0,0,0.906250,0.016472
0,0,0.912500,0.019147
0,0,0.918750,0.019997
0,0,0.925000,0.018941
0,0,0.931250,0.016079
0,0,0.937500,0.011684
0,0,0.943750,0.006175
0,0,0.950000,0.000078
0,0,0.956250,0.000000
0,0,0.962500,0.000000
0,0,0.968750,0.000000
0,0,0.975000,0.000000
0,0,0.981250,0.000000
0,0,0.987500,0.000000
0,0,0.993750,0.000000
0,0,1.000000,0.345459
0,0,1.006250,0.350847
0,0,1.012500,0.356899
0,0,1.018750,0.363037
0,0,1.025000,0.368676
0,0,1.031250,0.373280
0,0,1.037500,0.376409
0,0,1.043750,0.377764
0,0,1.050000,0.377217
0,0,1.056250,0.374819
0,0,1.062500,0.012992
0,0,1.068750,0.007734
0,0,1.075000,0.001739
0,0,1.081250,0.000000
0,0,1.087500,0.000000
0,0,1.093750,0.000000
0,0,1.100000,0.000000
0,0,1.106250,0.000000
0,0,1.112500,0.000000
0,0,1.118750,0.000000
0,0,1.125000,0.000000
0,0,1.131250,0.000000
0,0,1.137500,0.000000
0,0,1.143750,0.003607
0,0,1.150000,0.009436
0,0,1.156250,0.014366
0,0,1.162500,0.017926
0,0,1.168750,0.019777
0,0,1.175000,0.019743
0,0,1.181250,0.017827
0,0,1.187500,0.014211
0,0,1.193750,0.009240
0,0,1.200000,0.003389
0,0,1.206250,0.000000
0,0,1.212500,0.000000
0,0,1.218750,0.000000
0,0,1.225000,0.000000
0,0,1.231250,0.000000
0,0,1.237500,0.000000
0,0,1.243750,0.000000
0,0,1.250000,0.000000
0,0,1.256250,0.000000
0,0,1.262500,0.000000
